Game,Release Data,Total Earnings,Online Earnings,Total Players,Total Tournaments,Genre
TrackMania Nations,2006,93381.66,53381.66,18,8,Racing
TrackMania Nations Forever,2008,167386.65,146554.75,109,73,Racing
Trackmania Turbo,2016,679.41,0,6,2,Racing
Trackmania United,2006,1027.5,1027.5,3,1,Racing
Trackmania United Forever,2008,0,0,0,0,Racing
Trials Fusion,2014,0,0,0,0,Racing
Turbo Racing League,2013,1E+06,5E+05,16,9,Racing
Carom 3D,1999,60500,60500,11,4,Sports
Dream league Soccer,2019,0,0,0,0,Sports
FIFA 03,2002,54066.44,54066.44,10,3,Sports
FIFA 04,2003,40000,40000,3,3,Sports
FIFA 05,2004,57728.01,57728.01,5,8,Sports
FIFA 06,2005,112464.53,112464.53,23,12,Sports
FIFA 07,2006,238312.23,238312.23,43,14,Sports
FIFA 08,2007,207129.94,207129.94,68,17,Sports
FIFA 09,2008,121618.34,115321.42,52,19,Sports
FIFA 10,2009,117026.71,90147.21,64,48,Sports
FIFA 11,2010,93983.77,85154.02,72,78,Sports
FIFA 12,2011,54431.52,47279.42,53,66,Sports
FIFA 13,2012,458427.82,448195.59,53,62,Sports
FIFA 14,2013,96347.81,87377.48,57,69,Sports
FIFA 15,2014,144373.99,116439.15,168,352,Sports
FIFA 16,2015,117828.11,116883.94,61,28,Sports
FIFA 17,2016,1482612.63,1482612.63,156,48,Sports
FIFA 18,2017,2233697.69,2221267.08,235,48,Sports
FIFA 19,2018,3242642.34,3233027.83,299,48,Sports
FIFA 20,2019,2117946.76,1066013.14,297,61,Sports
FIFA 2000,1999,50000,50000,4,1,Sports
FIFA 2001,2000,46000,46000,9,2,Sports
FIFA 2002 World Cup,2002,43000,43000,8,1,Sports
FIFA 21,2020,2245134.53,84140.13,234,26,Sports
FIFA 22,2021,28622.56,28622.56,16,1,Sports
FIFA Online 3,2012,1434341.9,1434341.9,88,9,Sports
FIFA Online 4,2018,1681120,791120,155,12,Sports
Golf With Your Friends,2016,19400,0,11,2,Sports
Guitar Hero 5,2009,10500,10500,3,1,Sports
Guitar Hero III: Legends of Rock,2007,19000,19000,8,2,Sports
Guitar Hero: World Tour,2008,0,0,0,0,Sports
Just Dance 2014,2014,0,0,3,1,Sports
Madden NFL 19,2018,125000,125000,5,3,Sports
Madden NFL 2004,2003,1500,1500,3,1,Sports
Madden NFL 2006,2005,1E+05,1E+05,1,1,Sports
Madden NFL 2007,2006,1E+05,1E+05,1,1,Sports
Madden NFL 2008,2007,1E+05,1E+05,1,1,Sports
Madden NFL 2009,2008,1E+05,1E+05,1,1,Sports
Madden NFL 2013,2012,4E+05,4E+05,8,1,Sports
Madden NFL 2016,2015,50000,50000,8,1,Sports
Madden NFL 2017,2016,1004000,1004000,42,5,Sports
Madden NFL 2018,2017,279676.62,20676.62,40,3,Sports
Mario Tennis Aces,2018,61.3,0,6,2,Sports
NBA 2K Online,2012,0,0,0,0,Sports
NBA 2K18,2017,1E+06,1E+06,91,4,Sports
NBA 2K19,2018,0,0,0,0,Sports
NBA 2K20,2019,0,0,0,0,Sports
NBA 2K21,2020,501,0,3,1,Sports
NHL 94,1993,3818.56,3818.56,25,8,Sports
NHL 12,2011,702.93,702.93,6,2,Sports
NHL 13,2012,70000,70000,1,1,Sports
NHL 14,2013,3023.96,3023.96,6,3,Sports
NHL 15,2014,3157.16,3157.16,3,3,Sports
NHL 17,2016,0,0,0,0,Sports
NHL 18,2017,102700,90000,20,6,Sports
NHL 19,2018,22566.67,19566.67,10,8,Sports
Pro Evolution Soccer 2008,2007,2084.15,2084.15,6,3,Sports
Pro Evolution Soccer 2009,2008,1395.97,0,5,2,Sports
Pro Evolution Soccer 2013,2012,0,0,0,0,Sports
Pro Evolution Soccer 2014,2013,29410.25,29410.25,4,1,Sports
Pro Evolution Soccer 2015,2014,26544.76,26544.76,3,1,Sports
Pro Evolution Soccer 2016,2015,27243.84,27243.84,17,6,Sports
Pro Evolution Soccer 2017,2016,514697.71,514697.71,39,16,Sports
Pro Evolution Soccer 2018,2017,250000,250000,20,3,Sports
Pro Evolution Soccer 2019,2019,216000,216000,25,2,Sports
Pro Evolution Soccer 3,2003,25000,25000,8,2,Sports
Pro Evolution Soccer 4,2004,40550.64,40550.64,11,2,Sports
Pro Evolution Soccer 5,2005,32000,32000,4,1,Sports
Pro Evolution Soccer 6,2006,20216.82,20216.82,5,2,Sports
Rocket League,2015,16787959.34,4466348.99,1985,1969,Sports
Rocket League Sideswipe,2021,2500,0,1,1,Sports
Slapshot Rebound,2020,0,0,0,0,Sports
Soccer Stars,2018,0,0,0,0,Sports
Zwift,2015,33827.08,0,6,2,Sports
Artifact Classic,2018,119398.54,11635.81,277,170,Collectible Card Game
Artifact Foundry,2020,1174.5,0,21,12,Collectible Card Game
Faeria,2017,4100,0,12,5,Collectible Card Game
Gwent,2016,1206277.17,755391.17,324,113,Collectible Card Game
Hand of the Gods,2017,94434.2,72500,48,36,Collectible Card Game
Hearthstone,2014,26689371.78,18495720.37,2665,948,Collectible Card Game
Hearthstone Battlegrounds,2019,203630,0,40,4,Collectible Card Game
"KARDS, The World War II Card Game",2019,0,0,0,0,Collectible Card Game
Legends of Runeterra,2020,320181.03,0,47,7,Collectible Card Game
Magic: The Gathering Arena,2018,8488000,5354000,282,48,Collectible Card Game
Magic: The Gathering Online,2002,1218000,1218000,130,10,Collectible Card Game
Mythgard,2019,3000,0,9,3,Collectible Card Game
Pok<U+00E9>mon TCG,1996,0,0,0,0,Collectible Card Game
Shadowverse,2016,3211177.09,3080377.09,239,42,Collectible Card Game
Shardbound,2017,0,0,0,0,Collectible Card Game
The Elder Scrolls: Legends,2017,5000,5000,3,1,Collectible Card Game
Yu-Gi-Oh! Duel Links,2016,48746.72,0,328,219,Collectible Card Game
Catherine,2011,1545,1470,11,7,Puzzle Game
Catherine: Full Body,2019,185,185,3,1,Puzzle Game
Cultris II,2011,190.95,0,3,1,Puzzle Game
Jstris,2014,275,0,12,2,Puzzle Game
Magical Drop III,1997,130,130,3,1,Puzzle Game
Microsoft Excel,1985,1400,0,8,4,Puzzle Game
Pac-man,1981,0,0,0,0,Puzzle Game
Panel Attack,2020,140,0,5,2,Puzzle Game
Puyo Puyo Champions,2019,2482.3,2071.8,14,5,Puzzle Game
Puyo Puyo Tetris,2014,3422.84,1617.75,31,16,Puzzle Game
Puyo Puyo Tetris 2,2020,896.02,785.85,10,2,Puzzle Game
Tetr.io,2020,5287.88,2034.4,27,13,Puzzle Game
Tetris,1989,42515.99,16633.17,67,28,Puzzle Game
Tetris Effect: Connected,2020,1934.91,1552.88,12,3,Puzzle Game
Tetris Ultimate,2014,221,221,3,1,Puzzle Game
Twinkle Star Sprites,1996,150,0,4,2,Puzzle Game
Wise Star 2,2008,12000,12000,3,1,Puzzle Game
Apex Legends,2019,9437038.69,2014420.75,1538,414,Battle Royale
Ark: Survival Of The Fittest,2017,0,0,0,0,Battle Royale
Fall Guys,2020,334273.83,0,250,6,Battle Royale
Fortnite,2017,111339316.05,42203537.61,4931,750,Battle Royale
Free Fire,2017,4415734.23,3593500.23,659,31,Battle Royale
H1Z1,2016,2067122,2067122,119,13,Battle Royale
PLAYERUNKNOWNS BATTLEGROUNDS Mobile,2017,31118651.32,21013703.97,1814,74,Battle Royale
PLAYERUNKNOWNS BATTLEGROUNDS,2017,42981357.41,32396915.2,3052,388,Battle Royale
Radical Heights,2018,120000,0,12,2,Battle Royale
Ring of Elysium,2018,70000,0,9,4,Battle Royale
Rocket Arena,2020,1E+05,0,24,3,Battle Royale
Rules Of Survival,2017,0,0,0,0,Battle Royale
Spellbreak,2020,50000,0,42,1,Battle Royale
Gears 5,2019,1783000,680000,160,22,Third-Person Shooter
Gears of War,2006,252195.57,252195.57,33,18,Third-Person Shooter
Gears of War 2,2008,135000,135000,0,5,Third-Person Shooter
Gears of War 3,2011,7255.81,4555.81,13,4,Third-Person Shooter
Gears of War 4,2016,3087285,3055000,135,41,Third-Person Shooter
Gears of War: Ultimate Edition,2015,170000,170000,39,3,Third-Person Shooter
Knockout City,2021,0,0,0,0,Third-Person Shooter
Mobile Suit Gundam: Extreme Vs Maxi Boost ON,2016,100,0,6,1,Third-Person Shooter
Rogue Company,2020,50000,0,48,2,Third-Person Shooter
The Division 2,2019,27250,0,40,2,Third-Person Shooter
