'INCIDENT REGION','RESPONSE TYPE','INCIDENT START DATE','INCIDENT START TIME','SUBJECT NUMBER','SUBJECT GENDER','SUBJECT AGE','SUBJECT STATE','SUBJECT COUNTRY',ACTIVITY,SITUATION,'LOCATION FOUND LATITUDE','LOCATION FOUND LONGITUDE','LOCATION FOUND ELEVATION','FOUND IN SEARCH AREA',TECHNIQUE,'NUMBER OF RANGERS INVOLVED','OTHER AGENCY INVOLVEMENT','LAST KNOWN POINT LAND CLASS','LAST KNOWN POINT STATE LAND NAME','LAST KNOWN POINT COUNTY','LAST KNOWN POINT MUNICIPALITY','INCIDENT ADIRONDACK PARK','INCIDENT CATSKILL PARK','INCIDENT CLOSED DATE','INCIDENT CLOSED TIME'
5,Rescue,04/17/2017,'2:52 AM',1,M,48,NJ,US,Hiking,Injured,44.71167,-73.85128,2705,TRUE,'Assist/own power; Vehicle/boat evacuation',2,TRUE,'State Forests','Lyon Mountain',CLINTON,DANNEMORA,TRUE,FALSE,04/17/2017,'8:00 AM'
3,Rescue,02/03/2017,'6:25 AM',1,M,18,NY,US,Hiking,Stranded,41.96596,-73.68657,1137,TRUE,'Assist/own power',2,TRUE,'Private Land',NA,DUTCHESS,MILAN,FALSE,FALSE,02/03/2017,'10:00 AM'
3,Rescue,08/20/2018,'10:15 AM',2,M,9,NY,US,Swimming,Missing,41.4437,-74.5989,476,TRUE,'Airboat; Dive Team; Swiftwater; Vehicle/boat evacuation',22,TRUE,'Private Land',N/A,ORANGE,DEERPARK,FALSE,FALSE,08/22/2018,'4:00 AM'
5,Rescue,04/08/2018,'4:20 AM',1,M,23,NY,US,Climbing:Rock/Ice,Stranded,43.79923,-73.46492,324,TRUE,Airboat,4,FALSE,'Forest Preserve','Lake George Wild Forest',WARREN,HAGUE,TRUE,FALSE,04/08/2018,'9:00 AM'
7,Search,12/12/2016,'12:30 PM',1,M,40,NY,US,Hunting,Lost,43.20221,-76.35168,387,TRUE,'Assist/own power; Carry out by foot',2,TRUE,'Wildlife Management Area','Three Rivers WMA',ONONDAGA,LYSANDER,FALSE,FALSE,12/12/2016,'3:30 AM'
7,Search,08/03/2017,'4:07 AM',1,M,15,NY,US,Runaway,Missing,42.49575,-75.76929,1405,TRUE,'Assist/own power',2,TRUE,'Private Land',N/A,CHENANGO,MCDONOUGH,FALSE,FALSE,08/03/2017,'6:00 AM'
5,Rescue,08/14/2018,'7:13 AM',1,F,20,NY,US,Hiking,Stranded,43.64046,-74.10039,2350,TRUE,'Assist/own power',2,TRUE,'Forest Preserve','Siamese Pond Wilderness',WARREN,JOHNSBURG,TRUE,FALSE,08/15/2018,'5:11 AM'
5,Search,05/14/2018,'7:23 AM',1,M,46,NY,US,Despondent,Illness,43.24633,-73.8331,581,FALSE,'Assist/own power',2,TRUE,'Private Land',Private,WARREN,WARRENSBURG,TRUE,FALSE,05/20/2018,'10:00 AM'
5,Rescue,07/21/2017,'7:08 AM',1,F,51,NY,US,Hiking,Illness,44.15816,-73.95149,2300,TRUE,'Assist/own power',2,FALSE,'Forest Preserve','High Peaks Wilderness',ESSEX,'NORTH ELBA',TRUE,FALSE,07/21/2017,'9:20 AM'
5,Search,12/11/2018,'2:44 AM',1,M,38,ON,CA,Hiking,Lost,44.14339,-73.87723,5020,TRUE,'Assist/own power',12,TRUE,'Forest Preserve','E. High Peaks Wilderness',ESSEX,'NORTH ELBA',TRUE,FALSE,12/12/2018,'1:45 AM'
5,Rescue,11/06/2018,'10:00 AM',1,F,55,NY,US,Hiking,Injured,44.40173,-73.51321,2158,TRUE,'Vehicle/boat evacuation',5,FALSE,'Forest Preserve','Taylor Pond Wild Forest',ESSEX,CHESTERFIELD,TRUE,FALSE,11/06/2018,'3:08 AM'
3,Search,05/29/2017,'6:30 AM',2,F,19,NY,US,Hiking,Missing,42.01267,-74.62214,2223,TRUE,'Assist/own power',4,TRUE,'Forest Preserve','Willowemoc Wild Forest',SULLIVAN,ROCKLAND,FALSE,TRUE,05/29/2017,'9:30 AM'
8,Rescue,09/15/2016,'1:01 AM',1,M,61,NY,US,Aircraft,Stranded,42.74287,-77.44404,1940,TRUE,'Assist/own power',2,TRUE,'State Forests','Stid Hill Multiple Use Area',ONTARIO,'SOUTH BRISTOL',FALSE,FALSE,09/15/2016,'5:00 AM'
5,Search,07/06/2017,'5:05 AM',1,F,23,NY,US,Hiking,Lost,43.52342,-73.59384,1900,TRUE,'Assist/own power',2,FALSE,'Forest Preserve','Lake George Wild Forest',WASHINGTON,'FORT ANN',TRUE,FALSE,07/06/2017,'8:30 AM'
6,Rescue,07/09/2018,'10:57 AM',1,M,24,NY,US,Boating,Lost,44.21921,-74.84632,1630,TRUE,'Assist/own power',1,FALSE,'Forest Preserve','Cranberry Lake','ST LAWRENCE',CLIFTON,TRUE,FALSE,07/10/2018,'12:45 PM'
4,Search,07/18/2017,'5:49 AM',8,M,21,NY,US,Hiking,Lost,42.19858,-74.02985,2015,FALSE,'Assist/own power',1,FALSE,'Forest Preserve','Kaaterskill Wild Forest',GREENE,HUNTER,FALSE,TRUE,07/18/2017,'7:45 AM'
5,Search,04/25/2017,'7:44 AM',1,F,17,NY,US,Hiking,Lost,43.56471,-73.55346,2100,TRUE,'Assist/own power',2,TRUE,'Forest Preserve','Lake George Wild Forest',WASHINGTON,DRESDEN,TRUE,FALSE,04/25/2017,'11:44 AM'
5,Rescue,06/03/2017,'12:42 PM',1,M,28,MA,US,Boating,Injured,43.80507,-74.1016,1220,TRUE,Swiftwater,2,TRUE,'Forest Preserve','Hudson River Gorge',HAMILTON,'INDIAN LAKE',TRUE,FALSE,06/03/2017,'4:00 AM'
5,Search,10/01/2017,'6:43 AM',2,M,16,NY,US,Hiking,Lost,43.51435,-73.78024,862,TRUE,'Assist/own power',3,TRUE,'Forest Preserve','Municipal Land',WARREN,WARRENSBURG,TRUE,FALSE,10/02/2017,'12:45 PM'
5,Search,07/30/2017,'6:14 AM',2,F,15,NY,US,Hiking,Lost,43.5093,-73.6306,300,TRUE,'Assist/own power',2,TRUE,'Forest Preserve','Lake George Wild Forest',WASHINGTON,'FORT ANN',TRUE,FALSE,07/31/2017,'11:30 AM'
5,Search,09/28/2017,'7:45 AM',1,F,79,NY,US,Hiking,Lost,44.16298,-73.8578,2350,TRUE,'Assist/own power',2,TRUE,'Forest Preserve','High Peaks Wilderness',ESSEX,KEENE,TRUE,FALSE,09/28/2017,'11:00 AM'
5,Search,07/07/2018,'8:56 AM',1,M,39,NY,US,Hiking,Overdue,44.05585,-73.84149,2127,TRUE,'Assist/own power',8,TRUE,'Forest Preserve','High Peaks Wilderness',ESSEX,'NORTH HUDSON',TRUE,FALSE,07/07/2018,'5:09 AM'
5,Search,02/14/2017,'12:18 PM',3,M,30,NY,US,Hiking,Lost,44.14065,-73.99087,4600,TRUE,'Assist/own power',5,TRUE,'Forest Preserve','High Peaks Wilderness',ESSEX,KEENE,TRUE,FALSE,02/14/2017,'5:00 AM'
5,Search,10/22/2018,'5:42 AM',3,M,35,NY,US,Hiking,Lost,43.54081,-73.54077,1420,TRUE,'Airboat; Assist/own power',2,TRUE,'Forest Preserve','Lake George Wild Forest',WASHINGTON,'FORT ANN',TRUE,FALSE,10/22/2018,'10:00 AM'
5,Rescue,09/17/2018,'6:34 AM',1,M,24,MD,US,Hiking,Illness,44.16832,-73.96462,2500,TRUE,'Assist/own power',2,TRUE,'Forest Preserve','High Peaks Wilderness',ESSEX,KEENE,TRUE,FALSE,09/17/2018,'9:30 AM'
5,Rescue,09/19/2016,'1:50 AM',1,M,36,NY,US,Hiking,Illness,44.11938,-73.98252,2771,FALSE,'Assist/own power',1,TRUE,'Forest Preserve','High Peaks Wilderness',ESSEX,NEWCOMB,TRUE,FALSE,09/19/2016,'6:00 AM'
9,Search,07/12/2018,'8:30 AM',1,M,23,PA,US,Camping,Missing,42.10232,-79.55673,1698,TRUE,'Dive Team',10,TRUE,'Private Land',NA,CHAUTAUQUA,SHERMAN,FALSE,FALSE,07/15/2018,'4:10 AM'
5,Rescue,08/07/2018,'9:02 AM',1,M,51,NY,US,Hiking,Injured,43.49226,-74.3923,1703,TRUE,'Assist/own power',3,TRUE,'Forest Preserve','Blue Mountain Wild Forest',HAMILTON,'INDIAN LAKE',TRUE,FALSE,08/07/2018,'11:30 AM'
5,Search,07/21/2016,'2:46 AM',1,M,34,NY,US,Walking,Lost,44.44067,-74.28243,1730,TRUE,'Assist/own power',3,TRUE,'Private Land',Private,FRANKLIN,BRIGHTON,TRUE,FALSE,07/21/2016,'5:15 AM'
5,Rescue,07/31/2016,'5:44 AM',1,F,48,NJ,US,Hiking,Injured,44.13769,-73.80916,1834,TRUE,'Technical Rope',2,TRUE,'Conservation Easement','Adirondack Mountain Reserve Easement',ESSEX,KEENE,TRUE,FALSE,08/01/2016,'9:39 AM'
5,Search,10/16/2017,'6:54 AM',2,F,23,NY,US,Hiking,Lost,44.45142,-73.8804,1724,TRUE,'Assist/own power',2,TRUE,'Forest Preserve','Taylor Pond Wild Forest',CLINTON,'BLACK BROOK',TRUE,FALSE,10/16/2017,'9:45 AM'
5,Search,07/22/2018,'9:30 AM',4,M,5,NY,US,Hiking,Lost,44.26461,-73.66046,2625,TRUE,'Vehicle/boat evacuation',1,TRUE,'County Land','Blueberry Mt (Local Name)',ESSEX,ELIZABETHTOWN,TRUE,FALSE,07/22/2018,'10:40 AM'
8,Search,12/02/2018,'7:00 AM',1,M,57,NY,US,Despondent,Missing,43.14792,-77.71059,559,TRUE,'Carry out by foot',5,TRUE,'Private Land',N/A,MONROE,GATES,FALSE,FALSE,12/04/2018,'5:00 AM'
4,Rescue,04/25/2018,'2:00 AM',1,M,29,NY,US,Hiking,Stranded,42.26905,-74.1032,3720,TRUE,'Assist/own power',2,TRUE,'Forest Preserve','Windham Blackhead Wilderness',GREENE,WINDHAM,FALSE,TRUE,04/25/2018,'8:19 AM'
5,Rescue,08/27/2017,'8:11 AM',4,F,10,NJ,US,Hiking,Stranded,43.59283,-73.70517,1925,TRUE,'Assist/own power',1,TRUE,'Forest Preserve','Lake George Wild Forest',WARREN,BOLTON,TRUE,FALSE,08/27/2017,'10:50 AM'
5,Search,10/14/2018,'3:16 AM',1,F,23,NY,US,Hiking,Lost,44.15133,-73.76154,1549,TRUE,'Assist/own power',2,TRUE,'Forest Preserve','Giant Mountain Wilderness Area',ESSEX,KEENE,TRUE,FALSE,10/14/2018,'4:45 AM'
8,Search,05/24/2018,'12:00 PM',2,M,1,NY,US,Criminal,Missing,43.17665,-77.11098,437,TRUE,'Carry out by foot; Vehicle/boat evacuation',20,TRUE,'Private Land',NA,WAYNE,SODUS,FALSE,FALSE,10/13/2018,'12:00 PM'
3,Rescue,09/06/2016,'11:30 AM',1,M,24,NY,US,Hiking,Illness,42.01124,-74.2448,2700,FALSE,'Assist/own power; Vehicle/boat evacuation',3,TRUE,'Forest Preserve','Slide Mtn Wilderness',ULSTER,SHANDAKEN,FALSE,TRUE,09/06/2016,'3:00 AM'
3,Recovery,12/25/2018,'4:20 AM',1,M,41,MD,US,Climbing:Rock/Ice,Injured,41.7503,-74.17324,1000,TRUE,'Carry out by foot; Technical Rope',4,TRUE,'Private Land',N/A,ULSTER,ROCHESTER,FALSE,FALSE,12/25/2018,'6:10 AM'
5,Rescue,02/26/2018,'4:28 AM',1,M,48,NJ,US,Hiking,Injured,44.13892,-73.80231,1640,TRUE,'Assist/own power',1,TRUE,'Conservation Easement','Adirondack Mountain Reserve Conservaion Easement',ESSEX,KEENE,TRUE,FALSE,02/26/2018,'6:53 AM'
5,Search,03/07/2017,'10:18 AM',1,M,62,NY,US,Hiking,Overdue,44.18232,-73.96207,2200,FALSE,'Assist/own power',1,TRUE,'Forest Preserve','High Peaks Wilderness',ESSEX,KEENE,TRUE,FALSE,03/08/2017,'12:07 PM'
5,Search,05/29/2018,'4:39 AM',1,M,29,NJ,US,Hiking,Lost,43.83349,-73.59522,1440,FALSE,'Assist/own power',1,TRUE,'Forest Preserve','Pharoah Lakes Wilderness',ESSEX,TICONDEROGA,TRUE,FALSE,05/29/2018,'8:00 AM'
5,Rescue,10/24/2018,'4:41 AM',1,F,27,NY,US,Hiking,Illness,44.12489,-73.90087,3500,TRUE,'Aircraft evacuation; Assist/own power; Carry out by foot',11,TRUE,'Forest Preserve','High Peaks',ESSEX,KEENE,TRUE,FALSE,10/25/2018,'12:00 PM'
5,Search,10/02/2017,'8:17 AM',1,F,17,NY,US,Hiking,Lost,44.37035,-73.89851,4010,TRUE,'Assist/own power',1,TRUE,'Forest Preserve','McKenzie Mountain Wilderness',ESSEX,WILMINGTON,TRUE,FALSE,10/02/2017,'10:00 AM'
5,Rescue,06/27/2018,'6:51 AM',1,M,70,NY,US,Hiking,Lost,43.78491,-74.11854,1896,TRUE,'Assist/own power',1,TRUE,'Forest Preserve','Hudson Gorge Wilderness',HAMILTON,'INDIAN LAKE',TRUE,FALSE,06/27/2018,'7:18 AM'
5,Search,07/16/2016,'9:50 AM',1,F,30,NY,US,Hiking,Stranded,44.21739,-73.88507,2250,TRUE,'Assist/own power',2,TRUE,'Forest Preserve','Cascade Mountain',ESSEX,KEENE,TRUE,FALSE,07/16/2016,'10:56 AM'
3,Search,06/27/2016,'12:15 PM',3,M,16,NY,US,Hiking,Lost,41.93866,-74.40162,2750,TRUE,'Assist/own power',2,FALSE,'Forest Preserve','Slide Wilderness',ULSTER,DENNING,FALSE,TRUE,06/27/2016,'4:15 AM'
4,Search,09/05/2017,'4:20 AM',3,F,22,NA,GB,Hiking,Lost,42.14173,-74.07393,2376,FALSE,'Assist/own power',2,FALSE,'Forest Preserve','Kaaterskill Wild Forest',GREENE,HUNTER,FALSE,TRUE,09/05/2017,'7:13 AM'
5,Rescue,07/02/2017,'6:12 AM',1,F,38,NY,US,Hiking,Injured,44.1822,-73.96336,2172,TRUE,'Assist/own power',1,TRUE,'Forest Preserve','High Peaks Wilderness',ESSEX,KEENE,TRUE,FALSE,07/02/2017,'7:30 AM'
4,Search,09/03/2018,'9:04 AM',1,M,15,NY,US,Runaway,Missing,42.7605,-74.53233,1172,FALSE,'Assist/own power',3,TRUE,'Private Land',N/A,SCHOHARIE,SHARON,FALSE,FALSE,09/03/2018,'10:44 AM'
5,Search,07/29/2017,'11:09 AM',1,M,26,NY,US,Hiking,Lost,44.00593,-74.25799,2008,TRUE,'Assist/own power',2,TRUE,'Private Land','Hunnington Wildlife Forest (ESF)',ESSEX,NEWCOMB,TRUE,FALSE,07/29/2017,'3:00 AM'
5,Rescue,11/27/2017,'4:45 AM',1,F,20,NY,US,Hiking,Stranded,43.59766,-73.70634,2031,TRUE,'Vehicle/boat evacuation',1,TRUE,'Private Land','Lake George Land Conservancy',WARREN,BOLTON,TRUE,FALSE,11/27/2017,'7:30 AM'
5,Search,10/24/2016,'5:18 AM',1,M,57,NY,US,Hunting,Lost,43.46565,-74.45302,1851,TRUE,'Assist/own power',4,TRUE,'Forest Preserve','Moose River Plains Wild Forest',HAMILTON,INLET,TRUE,FALSE,10/24/2016,'9:00 AM'
5,Search,09/28/2016,'3:44 AM',1,M,65,DE,US,Hiking,Lost,44.27235,-73.75177,2025,TRUE,'Assist/own power',2,TRUE,'Forest Preserve','Hurricane Wilderness',ESSEX,KEENE,TRUE,FALSE,09/28/2016,'6:30 AM'
3,Search,07/26/2016,'8:15 AM',1,M,41,NY,US,Hiking,Lost,41.56587,-74.61742,1500,TRUE,'Assist/own power',2,TRUE,'Other DEC Land','Neversink River Unique Area',SULLIVAN,NEVERSINK,FALSE,FALSE,07/26/2016,'10:30 AM'
3,Search,06/11/2016,'6:30 AM',1,M,34,NY,US,Hiking,Overdue,41.92689,-74.2887,2922,TRUE,'Assist/own power',3,FALSE,'Forest Preserve','Sundown Wild Forest',ULSTER,OLIVE,FALSE,TRUE,06/12/2016,'2:30 AM'
5,Rescue,10/30/2018,'1:25 AM',2,M,20,NY,US,Hiking,Stranded,44.1478,-73.92919,3200,TRUE,'Assist/own power; Vehicle/boat evacuation',7,TRUE,'Forest Preserve','High Peaks Wilderness',ESSEX,KEENE,TRUE,FALSE,10/30/2018,'6:34 AM'
5,Search,01/17/2018,'7:58 AM',2,F,47,NY,US,Hiking,Lost,44.26451,-73.70823,1540,TRUE,'Assist/own power',2,FALSE,'Forest Preserve','Hurricane Primative',ESSEX,KEENE,TRUE,FALSE,01/18/2018,'4:00 AM'
3,Search,10/05/2016,'5:44 AM',3,F,14,NY,US,Hiking,Lost,41.98072,-74.74509,2634,TRUE,'Vehicle/boat evacuation',2,FALSE,'Forest Preserve','Willowemoc Wild Forest',SULLIVAN,ROCKLAND,FALSE,TRUE,10/05/2016,'10:00 AM'
5,Rescue,06/19/2018,'5:21 AM',1,F,20,NY,US,Hiking,Injured,44.11155,-74.05868,1890,FALSE,'Assist/own power',2,FALSE,'Forest Preserve','High Peaks Wilderness',ESSEX,NEWCOMB,TRUE,FALSE,06/19/2018,'9:00 AM'
8,Rescue,10/07/2016,'1:47 AM',1,F,16,NY,US,Hiking,Injured,42.63538,-77.26757,1455,TRUE,'Assist/own power; Carry out by foot; Vehicle/boat evacuation',1,TRUE,'State Forests','Italy Hill State Forest',YATES,ITALY,FALSE,FALSE,10/07/2016,'4:30 AM'
9,Search,07/29/2018,'5:56 AM',1,M,22,NY,US,Walking,Overdue,42.29921,-77.95139,1725,TRUE,'Assist/own power',3,TRUE,'Private Land',NA,ALLEGANY,'WEST ALMOND',FALSE,FALSE,07/29/2018,'7:30 AM'
5,Search,03/31/2017,'7:41 AM',1,F,13,NY,US,Runaway,Missing,43.23314,-73.81281,600,FALSE,'Vehicle/boat evacuation',4,TRUE,'Private Land','Private Land',SARATOGA,CORINTH,TRUE,FALSE,04/02/2017,'11:00 AM'
3,Search,06/19/2017,'3:36 AM',3,M,23,DC,US,Hiking,Overdue,42.10134,-74.39394,1450,FALSE,'Assist/own power',2,FALSE,'Forest Preserve','Panther Mountain',ULSTER,SHANDAKEN,FALSE,TRUE,06/19/2017,'6:45 AM'
5,Search,08/18/2018,'7:42 AM',3,M,17,NY,US,Swimming,Lost,43.5491,-73.60872,300,TRUE,'Airboat; Vehicle/boat evacuation',2,TRUE,'Forest Preserve','Lake George Park Commission',WASHINGTON,'FORT ANN',TRUE,FALSE,08/18/2018,'9:30 AM'
6,Search,07/20/2016,'8:40 AM',3,M,16,NY,US,Hiking,Lost,43.80796,-75.17294,1200,TRUE,'Assist/own power',3,TRUE,'Forest Preserve','Independence River Wild Forest',LEWIS,WATSON,TRUE,FALSE,07/21/2016,'2:00 AM'
5,Rescue,07/31/2017,'6:04 AM',2,M,34,NY,US,Climbing:Rock/Ice,Stranded,44.13639,-74.03637,3234,TRUE,'Assist/own power',1,TRUE,'Forest Preserve','High Peaks Wilderness',ESSEX,NEWCOMB,FALSE,FALSE,07/31/2017,'11:30 AM'
5,Rescue,02/25/2017,'3:48 AM',1,M,50,NY,US,Fishing,Stranded,43.46017,-73.64724,320,TRUE,Airboat,2,TRUE,'Forest Preserve','Lake George',WARREN,QUEENSBURY,TRUE,FALSE,02/25/2017,'5:00 AM'
5,Rescue,08/01/2016,'2:58 AM',1,F,50,NY,US,Hiking,Injured,43.51222,-73.60081,1730,FALSE,'Vehicle/boat evacuation',3,TRUE,'Forest Preserve','Lake Geroge Wild Forest',WASHINGTON,'FORT ANN',TRUE,FALSE,08/01/2016,'6:50 AM'
5,Rescue,06/11/2018,'2:41 AM',1,F,50,NY,US,Hiking,Injured,44.37355,-73.89234,3950,TRUE,'Assist/own power',4,TRUE,'State Forests','Whiteface Intensive Use Area',ESSEX,WILMINGTON,TRUE,FALSE,06/11/2018,'5:00 AM'
5,Search,10/22/2017,'8:39 AM',1,M,66,NY,US,Hunting,Overdue,44.20543,-74.30872,1560,TRUE,'Assist/own power',19,TRUE,'Forest Preserve','High Peaks Wilderness',FRANKLIN,HARRIETSTOWN,TRUE,FALSE,10/23/2017,'10:30 AM'
5,Rescue,10/02/2018,'5:36 AM',1,M,71,CT,US,Hiking,Injured,44.08353,-74.02794,3200,TRUE,'Carry out by foot; Technical Rope',10,TRUE,'Forest Preserve','High Peaks Wilderness',ESSEX,NEWCOMB,TRUE,FALSE,10/03/2018,'1:20 AM'
5,Recovery,08/26/2018,'3:37 AM',1,F,59,NJ,US,Hiking,Illness,44.16159,-74.16948,3600,TRUE,'Aircraft evacuation',4,TRUE,'Forest Preserve','High Peaks Wilderness',FRANKLIN,HARRIETSTOWN,TRUE,FALSE,08/26/2018,'7:00 AM'
3,Search,08/15/2017,'9:38 AM',1,M,78,NY,US,Hiking,Overdue,42.09328,-74.50749,2300,TRUE,'Carry out by foot',3,TRUE,'Forest Preserve','Big Indian Wilderness',ULSTER,HARDENBURGH,FALSE,TRUE,08/16/2017,'4:30 AM'
6,Rescue,07/09/2017,'11:01 AM',1,F,59,NY,US,'Horseback riding',Injured,43.76625,-75.28738,909,TRUE,'Carry out by foot',3,TRUE,'Forest Preserve','Otter Creek Horse Trails',LEWIS,WATSON,TRUE,FALSE,07/09/2017,'12:39 PM'
4,Rescue,01/31/2017,'12:15 PM',1,F,26,NY,US,Hiking,Injured,42.19351,-74.06423,1749,FALSE,'Carry out by foot; Technical Rope',11,TRUE,'Forest Preserve','Kaaterskill Wild Forest',GREENE,HUNTER,FALSE,TRUE,01/31/2017,'3:24 AM'
5,Rescue,09/13/2017,'6:26 AM',1,F,58,LA,US,Hiking,Injured,44.07426,-73.97164,2515,TRUE,'Assist/own power',2,TRUE,'Forest Preserve','Eastern High Peaks',ESSEX,NEWCOMB,TRUE,FALSE,09/13/2017,'10:15 AM'
3,Search,08/15/2016,'4:00 AM',1,M,24,NY,US,Hiking,Missing,41.58295,-74.62156,1250,TRUE,'Assist/own power',2,FALSE,'Other DEC Land','Neversink River UA',SULLIVAN,FORESTBURGH,FALSE,FALSE,08/15/2016,'7:00 AM'
8,Rescue,08/17/2018,'4:30 AM',1,F,30,NY,US,Hiking,Injured,42.62793,-77.35152,1221,TRUE,'Carry out by foot; Technical Rope',2,TRUE,'Wildlife Management Area','High Tor WMA',YATES,ITALY,FALSE,FALSE,08/18/2018,'12:00 PM'
5,Rescue,08/07/2016,'2:31 AM',1,F,25,NY,US,Hiking,Lost,43.56684,-73.55475,1890,TRUE,'Assist/own power',1,FALSE,'Forest Preserve','Lake George Wild Forest',WASHINGTON,'FORT ANN',TRUE,FALSE,08/07/2016,'4:45 AM'
4,Search,04/18/2017,'6:00 AM',4,M,8,NY,US,Hiking,Lost,42.17768,-74.23028,3995,TRUE,'Assist/own power',1,TRUE,'Forest Preserve','Rusk Mountain Wild Forest',GREENE,HUNTER,FALSE,TRUE,04/18/2017,'10:00 AM'
5,Search,05/10/2018,'5:30 AM',1,F,18,NY,US,Hiking,Lost,44.31601,-74.07791,1600,FALSE,'Assist/own power',3,TRUE,'Forest Preserve','McKenzie Wilderness',ESSEX,'NORTH ELBA',TRUE,FALSE,05/10/2018,'8:00 AM'
5,Search,08/21/2018,'11:19 AM',1,M,29,NY,US,Hiking,Overdue,44.10265,-73.73155,1604,TRUE,'Aircraft evacuation',16,TRUE,'Forest Preserve','Dix Mountain',ESSEX,KEENE,TRUE,FALSE,08/22/2018,'2:00 AM'
5,Search,05/30/2017,'9:04 AM',5,F,20,NJ,US,Hiking,Lost,43.71072,-74.36083,2200,TRUE,'Assist/own power',2,TRUE,'Forest Preserve','West Canada Lake Wilderness',HAMILTON,'INDIAN LAKE',TRUE,FALSE,05/31/2017,'12:33 PM'
5,Search,09/17/2018,'8:35 AM',2,M,73,QC,CA,Hiking,Overdue,44.17653,-73.83532,1002,TRUE,'Assist/own power',2,FALSE,'Forest Preserve','Eastern High Peaks',ESSEX,KEENE,TRUE,FALSE,09/17/2018,'10:45 AM'
5,Search,08/11/2017,'11:56 AM',1,M,80,ON,CA,Hiking,Overdue,44.62367,-74.28155,1330,TRUE,'Assist/own power',13,TRUE,'Forest Preserve','Debar Mountain Wild Forest',FRANKLIN,DUANE,TRUE,FALSE,08/12/2017,'5:00 AM'
5,Search,07/11/2016,'6:56 AM',1,F,26,NY,US,Hiking,Lost,43.81474,-73.45251,1158,TRUE,'Assist/own power',2,FALSE,'Private Land',Private,ESSEX,TICONDEROGA,TRUE,FALSE,07/11/2016,'9:30 AM'
5,Rescue,08/02/2018,'1:40 AM',1,M,15,NY,US,Biking,Injured,43.23488,-73.71552,372,TRUE,'Carry out by foot',1,TRUE,'OPRHP State Land','Moreau State Park',SARATOGA,MOREAU,FALSE,FALSE,08/02/2018,'3:30 AM'
4,Rescue,07/16/2018,'4:00 AM',1,M,59,NY,US,Hiking,Injured,42.19177,-74.06614,1926,FALSE,'Carry out by foot',2,TRUE,'Forest Preserve','Kaaterskill Wild Forest',GREENE,HUNTER,FALSE,TRUE,07/16/2018,'8:00 AM'
5,Search,07/04/2017,'4:36 AM',1,M,33,NY,US,Whitewater,Missing,43.06662,-73.35539,540,TRUE,'Assist/own power',1,TRUE,'Wildlife Management Area','Eldridge Swamp State Forest',WASHINGTON,JACKSON,FALSE,FALSE,07/04/2017,'8:30 AM'
5,Rescue,09/26/2016,'9:11 AM',1,M,71,NY,US,Hiking,Injured,43.39738,-74.45484,1496,TRUE,'Carry out by foot',6,TRUE,'Forest Preserve','Silver Lake Wilderness',HAMILTON,'LAKE PLEASANT',TRUE,FALSE,09/26/2016,'2:10 AM'
5,Search,11/26/2016,'6:20 AM',1,M,49,NY,US,Hunting,Missing,43.74031,-74.21707,1745,TRUE,'Assist/own power',4,FALSE,'State Forests','Siamese Ponds Wilderness',HAMILTON,'INDIAN LAKE',TRUE,FALSE,11/26/2016,'9:30 AM'
5,Rescue,04/16/2018,'6:33 AM',1,M,32,NY,US,Skiing,Injured,44.36531,-73.8939,3400,TRUE,'Vehicle/boat evacuation',5,TRUE,'Forest Preserve','Whiteface Intensive Use Area',ESSEX,WILMINGTON,TRUE,FALSE,04/16/2018,'10:00 AM'
8,Search,10/08/2018,'9:00 AM',2,M,35,NY,US,Hunting,Overdue,42.54587,-77.87664,1900,TRUE,'Assist/own power',2,TRUE,'Wildlife Management Area','Rattlesnake Hill WMA',LIVINGSTON,NUNDA,FALSE,FALSE,10/09/2018,'1:00 AM'
5,Search,10/27/2016,'11:40 AM',1,F,25,NY,US,Hiking,Overdue,43.38781,-74.17197,402,TRUE,'Assist/own power',6,TRUE,'Forest Preserve','Wilcox Lake Wild Forest',HAMILTON,WELLS,TRUE,FALSE,10/28/2016,'9:30 AM'
5,Search,07/20/2017,'7:39 AM',1,M,28,NY,US,Hiking,Lost,43.48655,-73.6111,1500,TRUE,'Assist/own power',2,TRUE,'Forest Preserve','Lake George Wild Forest',WASHINGTON,'FORT ANN',TRUE,FALSE,07/21/2017,'3:00 AM'
4,Rescue,05/30/2018,'3:30 AM',1,M,42,NJ,US,Hiking,Injured,42.17935,-74.26474,2220,TRUE,'Vehicle/boat evacuation',1,TRUE,'Forest Preserve','Hunter-West Kill Wilderness',GREENE,LEXINGTON,FALSE,TRUE,05/30/2018,'5:00 AM'
6,Rescue,01/09/2017,'2:00 AM',2,F,43,NY,US,Snowmobile,Injured,43.79069,-75.09721,1690,FALSE,'Aircraft evacuation; Vehicle/boat evacuation',1,TRUE,'Private Land',private,HERKIMER,WEBB,TRUE,FALSE,01/09/2017,'9:00 AM'
5,Rescue,12/31/2016,'8:32 AM',3,M,22,NC,US,Camping,Stranded,44.33694,-73.94237,1900,FALSE,'Vehicle/boat evacuation',2,FALSE,'Forest Preserve','McKenzie Wilderness',ESSEX,'NORTH ELBA',TRUE,FALSE,12/31/2016,'1:25 AM'
